log.prior	log.likelihood	log.likelihood.test.set
-1.525986109757213399e+03 -7.065378208183228708e+02 -4.255834489887050154e+01
-1.504784216544166384e+03 -7.044638062388337403e+02 -4.245001521803732203e+01
-1.492761814998236787e+03 -7.054955450217142925e+02 -4.207300112246690560e+01
-1.489240955335218132e+03 -7.041687247011486761e+02 -4.032144614009936845e+01
-1.490545172914422210e+03 -7.029181760105620924e+02 -4.012597375532658361e+01
-1.509603366190921861e+03 -7.057942785600105253e+02 -4.083901462681157568e+01
-1.509166098675118974e+03 -7.045483625658929441e+02 -4.157763419791120896e+01
-1.489168488713150282e+03 -7.031750002785001925e+02 -4.219334539078963076e+01
-1.502833128542936947e+03 -7.022162196637855232e+02 -4.271236447375039802e+01
-1.529162493734902228e+03 -7.037307434110553004e+02 -4.331488382896063172e+01
-1.524009766157644890e+03 -7.090055071025402640e+02 -4.355673050839678240e+01
-1.526457176660383993e+03 -7.088288832839959923e+02 -4.440633022729801382e+01
-1.529223942890881517e+03 -7.099839083448196106e+02 -4.375415927379793857e+01
-1.533370816264316545e+03 -7.071410831094605101e+02 -4.236486410945860825e+01
-1.520582503959952419e+03 -7.067590372162215999e+02 -4.221986484940956075e+01
-1.525155844412780880e+03 -7.022153839595997624e+02 -4.331727914691634851e+01
-1.495126885177815211e+03 -7.096978651468066346e+02 -4.212177929885962158e+01
-1.515380851416191035e+03 -7.101553832308240999e+02 -4.370512981630304239e+01
-1.503173777594989815e+03 -7.138896931979139708e+02 -4.355575909284442560e+01
-1.507128885377165034e+03 -7.135897554569131671e+02 -4.300803235516002587e+01
-1.519914843797221465e+03 -7.087619940494439561e+02 -4.342427436116193462e+01
-1.509628049147747788e+03 -7.089949440997681904e+02 -4.294905516605578555e+01
-1.513910987127861972e+03 -7.122871322357760846e+02 -4.117367454156104145e+01
-1.514237601519369264e+03 -7.112429167297619870e+02 -4.111747684365383293e+01
-1.493096627516484432e+03 -7.113835299393737159e+02 -4.091815992684038861e+01
-1.499359821323623692e+03 -7.120849105670199606e+02 -4.145003798529367600e+01
-1.504419690763297467e+03 -7.113114839758727612e+02 -4.122139579344221261e+01
-1.480501345739114413e+03 -7.111257670750882198e+02 -4.023718067161479439e+01
-1.466283792794568853e+03 -7.152543766806945769e+02 -3.996606413937396951e+01
-1.471835641900723658e+03 -7.099800041507852484e+02 -4.113327921371148932e+01
-1.452309822320700960e+03 -7.062505733947137969e+02 -4.037881768603691057e+01
-1.471294527816439995e+03 -7.029758604315907178e+02 -4.111364996132067517e+01
-1.461984062530378196e+03 -7.070812571284577643e+02 -4.225124123621276340e+01
-1.472491116339611835e+03 -7.082914183067432532e+02 -4.333520635804089238e+01
-1.480399631927210521e+03 -7.068947782145990004e+02 -4.210788750233533051e+01
-1.478568195865503867e+03 -7.122010069281152482e+02 -4.217986707666284474e+01
-1.477692102703625324e+03 -7.121610470784944482e+02 -4.196627133820572908e+01
-1.469313361386190991e+03 -7.167035506859585894e+02 -4.120010822070938161e+01
-1.475838883538388927e+03 -7.153362068479765412e+02 -4.100961883600390934e+01
-1.495845474415135186e+03 -7.129764181916833650e+02 -4.061692059414681921e+01
-1.499835432637422855e+03 -7.126451916213518416e+02 -4.046435044880990972e+01
-1.497451282968356281e+03 -7.129109044606328780e+02 -3.996279562488206238e+01
-1.475748018114120441e+03 -7.187653939557441163e+02 -4.020650754565770058e+01
-1.473482456049763641e+03 -7.201889730720723719e+02 -3.971326167591254830e+01
-1.454937996040677262e+03 -7.172461386479566272e+02 -4.014238013730798116e+01
-1.461161984856375966e+03 -7.112585959739807322e+02 -4.065317144470452604e+01
-1.459993672501345372e+03 -7.064158134498790105e+02 -4.134620210952445518e+01
-1.461246057849918770e+03 -7.072256090740229411e+02 -4.194893627964566463e+01
-1.480681844713825285e+03 -7.062443897886432751e+02 -4.419004785367832255e+01
-1.476086876788829841e+03 -7.113231928040383991e+02 -4.360770854171283872e+01
-1.490840362905678830e+03 -7.118079211319538899e+02 -4.220116912953622546e+01
-1.471979061538890164e+03 -7.137563260709332553e+02 -4.238205361308860120e+01
-1.473141046420517569e+03 -7.158226854878984113e+02 -4.244078949630679176e+01
-1.499477910155492737e+03 -7.116584212287099263e+02 -4.242794237007055358e+01
-1.503389641216057043e+03 -7.143607747768279523e+02 -4.181248271386900228e+01
-1.516170854141257678e+03 -7.096960412327808854e+02 -4.207511802006581547e+01
-1.517395809837790921e+03 -7.102063853872491563e+02 -4.222596951776600349e+01
-1.510560681816084298e+03 -7.123547314909047827e+02 -4.175257084022845788e+01
-1.511258160169124267e+03 -7.145660083304160253e+02 -4.151724537602700593e+01
-1.517460157100792458e+03 -7.080658574350067056e+02 -4.126765525622678865e+01
-1.503903153194227798e+03 -7.132196502366771256e+02 -4.133501601073751885e+01
-1.514646708512601208e+03 -7.094801286397416789e+02 -4.170178794798238187e+01
-1.500099759146365386e+03 -7.111107424426451189e+02 -4.154689990906689445e+01
-1.490049494257399829e+03 -7.053479325146461179e+02 -4.200690945896946005e+01
-1.497715143135710605e+03 -7.052849949365622706e+02 -4.276381810494626734e+01
-1.499261179384069465e+03 -7.086322052641712617e+02 -4.224577202116097396e+01
-1.488275204088194187e+03 -7.050720718921413663e+02 -4.167631824373117411e+01
-1.486839352956075800e+03 -7.042362065090422902e+02 -4.248642325329643654e+01
-1.495134797231316043e+03 -7.041668770684543688e+02 -4.314097007654032723e+01
-1.484897288810586588e+03 -7.031191377198865666e+02 -4.283486420449241905e+01
-1.484224854574033543e+03 -7.073204996328352081e+02 -4.324473028486522708e+01
-1.507558651494608284e+03 -7.073613155258907454e+02 -4.362603879538966112e+01
-1.499880437657839366e+03 -7.127537693954448059e+02 -4.285464267894747081e+01
-1.497276415220218496e+03 -7.097766924738056105e+02 -4.251935171047102813e+01
-1.482630852549767951e+03 -7.107031686838008682e+02 -4.204672124979654768e+01
-1.476220120543950770e+03 -7.128596118784699911e+02 -4.133245424354007014e+01
-1.462180988609121414e+03 -7.113601258248510248e+02 -4.172931620394422225e+01
-1.470561367619281100e+03 -7.086516258190029021e+02 -4.109726880315221820e+01
-1.470605055092858493e+03 -7.057544383446880829e+02 -4.178440564819675274e+01
-1.481337598626425461e+03 -7.096336915210865754e+02 -4.181505231837650172e+01
-1.484976636847245345e+03 -7.061115048291893572e+02 -4.184145936598548587e+01
-1.495017514084269351e+03 -7.051921248418555024e+02 -4.171926304608328451e+01
-1.488717638114777401e+03 -7.027291557099541706e+02 -4.192230171377880765e+01
-1.483006041983677733e+03 -7.012762032721716423e+02 -4.172066311950385398e+01
-1.503422503743280686e+03 -7.032520856312848991e+02 -4.131219986447345605e+01
-1.507097259831967904e+03 -7.024654567442820507e+02 -4.108443191297109820e+01
-1.494352004138973825e+03 -7.038128129157848889e+02 -4.041467654992123926e+01
-1.487167328350829621e+03 -7.082290963527987060e+02 -4.110706383727219304e+01
-1.484154767656274771e+03 -7.061112283331871140e+02 -4.084465254403988865e+01
-1.489490454822779157e+03 -7.068922853725872528e+02 -4.085187098489248569e+01
-1.482804041948158329e+03 -7.107329560384887372e+02 -4.042961935873555035e+01
-1.489816651528401508e+03 -7.102594014382601699e+02 -4.018684789701526938e+01
-1.506981113205338488e+03 -7.092699123870208950e+02 -3.979758891367202978e+01
-1.477587164627399261e+03 -7.082940580469135057e+02 -3.953751246372596029e+01
-1.485396190134467815e+03 -7.097307301977652969e+02 -4.025137254338829962e+01
-1.479817675059559633e+03 -7.102361853562797478e+02 -4.019122048117588974e+01
