word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	
9.848999734844600340e+00 7.239769471338558304e+00 9.778498811625201625e+00 8.193798912942396484e+00 9.541174440502970810e+00 9.418939801333811701e+00 3.917278330471747338e+00
9.210802268161366158e+00 8.596267352219502555e+00 5.916906996167137223e+00 7.239598172101612938e+00 6.815972246382707489e+00 8.755834695167902026e+00 7.997108180816590028e+00
9.251229780598039909e+00 7.855039485322135917e+00 9.793370159989750690e+00 9.323291716966236820e+00 6.128020909025334362e+00 8.670373299091650665e+00 5.592538986851069538e+00
9.278264845752199008e+00 8.805298075318813034e+00 9.365390650108894377e+00 9.161943162287053966e+00 9.094805582760725926e+00 8.562194860426991738e+00 5.658410615658730158e+00
7.949785140632768865e+00 6.999067988289280784e+00 8.947255604066810974e+00 9.148035322950180515e+00 9.366389726813860506e+00 9.940227191463709033e+00 5.200914112475389040e+00
8.791888839602178152e+00 6.425111877420124351e+00 8.787172278912567691e+00 9.317790106803865768e+00 7.587191095828139886e+00 7.811654918270481751e+00 8.168886888783370992e+00
8.321485646265687208e+00 6.164041783165541410e+00 6.197253557886308606e+00 3.876617117155380932e+00 7.612586254843633604e+00 8.435086585955053451e+00 5.620507768814615446e+00
9.318602802918334760e+00 5.774723011015550966e+00 8.713622851496229060e+00 6.103348877039245224e+00 7.659895924767564424e+00 8.563147935024723267e+00 6.618932260310927518e+00
8.096500237102514319e+00 8.717651105024872393e+00 9.137313536413060433e+00 8.759692009005853208e+00 9.247539349109167972e+00 9.358551842542777166e+00 8.292485168111374705e+00
8.756339991086242946e+00 9.642696719157688889e+00 7.958100644443557137e+00 8.725333156565225678e+00 9.319335644372625183e+00 9.568098559543248172e+00 8.361570407965352558e+00
8.217413126292305137e+00 8.799884530910359715e+00 9.533056209671826764e+00 8.793908194588716754e+00 9.719359064709937712e+00 8.555532153688673702e+00 6.219012545242549983e+00
9.611078862014617030e+00 9.534141555458866435e+00 9.771978975915512677e+00 8.217682785784571564e+00 9.664528831277454657e+00 7.468653519266016616e+00 7.803018224995238228e+00
9.500747829967044922e+00 9.672082512142218036e+00 7.458986720108073065e+00 8.678900712630200687e+00 9.512868121472845218e+00 8.650969415415191932e+00 8.970773418372521846e+00
9.744808724559071322e+00 7.259659487413740564e+00 7.802194432846737193e+00 7.463152037531781247e+00 8.232641663838222712e+00 7.597717586905012865e+00 8.289063293499012275e+00
6.501427715130335017e+00 9.914426517025816565e+00 6.628032620217845228e+00 8.352794118412285584e+00 9.615732193319049159e+00 7.383777712049654163e+00 7.582343981754894102e+00
8.110670450339792836e+00 7.740987109555494072e+00 8.890563106953971229e+00 6.060630271196851382e+00 9.997722402424853883e+00 5.714298801352314605e+00 7.280260624755884535e+00
9.378011075783140527e+00 8.337737469792438461e+00 9.827714463511936671e+00 9.897993451885389149e+00 9.884077881851517589e+00 8.448985730552069029e+00 7.682803071540755369e+00
9.502670748079957264e+00 9.330838689799069385e+00 8.452396708479678722e+00 5.703410172768269781e+00 9.553510220051611768e+00 7.067967438617220211e+00 8.999073982543357886e+00
8.751321582541748967e+00 9.237874836300123960e+00 9.492427503630718633e+00 5.676729158525088970e+00 9.563708844830525635e+00 9.085947823997548412e+00 9.107362569637697192e+00
8.874079621389050487e+00 8.471759545961573323e+00 7.895467685958430515e+00 6.574333520461833835e+00 7.051442035818232590e+00 9.126272265787385152e+00 8.949423708605252159e+00
9.919350643966012626e+00 9.913327872879552416e+00 3.542139416092617843e+00 7.306366716647663573e+00 7.836884117036360564e+00 9.794731171552820470e+00 6.666796440246106847e+00
9.816071806802318278e+00 7.682698491628374704e+00 4.235565814124232276e+00 4.992784577615006825e+00 8.375926671669615686e+00 7.851288252589066374e+00 6.551728523817908822e+00
8.992575116990179751e+00 9.021564524155660791e+00 6.423583899549268672e+00 8.879062843965654039e+00 9.122154273852590478e+00 8.900623259023754841e+00 6.374028329957313055e+00
8.734706739692963851e+00 5.777965617335885540e+00 7.518822978863574313e+00 9.466015131544679662e+00 9.917678614557900119e+00 9.244888346463801199e+00 5.672094280242132136e+00
9.460765264957945675e+00 9.411710246403480085e+00 9.516913184233356304e+00 7.780674895896911636e+00 7.086243222328066693e+00 6.179107238049748929e+00 5.759230890775869582e+00
9.461566594774051708e+00 9.860395405492742071e+00 9.184175642376594340e+00 6.273053414778946291e+00 8.870528506124291113e+00 8.338369152994308919e+00 5.851469544216238994e+00
6.317395539480580524e+00 9.685403848781023228e+00 6.335510976980490483e+00 9.043207584994723547e+00 9.348552031287692188e+00 8.688681177296739833e+00 8.199789541662159564e+00
6.616968382453383590e+00 9.958599168502681565e+00 4.713630491835633762e+00 6.639529382537221025e+00 8.275181295843436757e+00 8.981189239775670075e+00 7.095389821099983507e+00
8.291208341945335292e+00 7.910982334948070793e+00 6.721909201243350118e+00 8.398674516247574218e+00 9.944470648743923391e+00 9.439064733513394145e+00 7.366595838754603776e+00
9.801386492753819013e+00 5.943122639149974518e+00 7.984267110957353530e+00 6.305661092779232035e+00 9.108903575476423597e+00 9.461661749547506162e+00 7.855454098138913821e+00
9.974136805412648243e+00 9.515610933084937884e+00 6.177406524790232112e+00 6.166795470974325788e+00 8.018821512104386429e+00 8.817687890472198475e+00 4.781208165353664441e+00
9.721611637080131985e+00 9.800157163048073272e+00 9.376001046720420007e+00 8.147617664275994542e+00 8.582685089485844188e+00 9.365925321136181481e+00 7.581007756539701603e+00
