log.prior	log.likelihood	log.likelihood.test.set
-1.212502332328291686e+03 -3.687927835703005712e+02 -1.603415320719815895e+01
-1.207628947285681761e+03 -3.698079269101425552e+02 -1.568643051876003369e+01
-1.221171862676722412e+03 -3.710089022719483864e+02 -1.682418882288268946e+01
-1.214572571891209464e+03 -3.722938201542805245e+02 -1.659342514162415227e+01
-1.220389135466472226e+03 -3.697082558779120518e+02 -1.669082349860451586e+01
-1.240083431544477889e+03 -3.712127954818673174e+02 -1.665288444727963224e+01
-1.215733712601817615e+03 -3.697357580142020197e+02 -1.693789279615361920e+01
-1.226224804489644157e+03 -3.701009394661796819e+02 -1.684710701600485550e+01
-1.220195642335450884e+03 -3.696928699890214034e+02 -1.711803100050011039e+01
-1.209259845190693795e+03 -3.661280685477231600e+02 -1.760793827336951267e+01
-1.200374921708851616e+03 -3.679339358908180202e+02 -1.635993927818219618e+01
-1.204043229315157078e+03 -3.667223177982207289e+02 -1.629935322290958766e+01
-1.209075516601404388e+03 -3.645925925974516986e+02 -1.585218385241105921e+01
-1.198759784342414378e+03 -3.650037935198719197e+02 -1.531082636794297969e+01
-1.210154940279189759e+03 -3.662238211268156647e+02 -1.526732032922876670e+01
-1.221057768190865772e+03 -3.680587986861344802e+02 -1.550254664815162187e+01
-1.217892958012089366e+03 -3.699901745751365070e+02 -1.543570483792163373e+01
-1.220832119941838300e+03 -3.704829838388484404e+02 -1.575645707204876089e+01
-1.223584371719767660e+03 -3.669765708534243913e+02 -1.569957078752307211e+01
-1.194047594793908274e+03 -3.686486599779965445e+02 -1.570966654262795714e+01
-1.187118864903984786e+03 -3.675480227772818580e+02 -1.595971782204964029e+01
-1.190493027498062474e+03 -3.671948350104553924e+02 -1.626842018630873099e+01
-1.196039044535463290e+03 -3.634858849178630180e+02 -1.662462290712559820e+01
-1.185862677631905854e+03 -3.654082767875401601e+02 -1.643289626260067848e+01
-1.180566652853597134e+03 -3.693125943306241652e+02 -1.694705038515826345e+01
-1.190547997847706029e+03 -3.704717323052612983e+02 -1.763181874009913486e+01
-1.192332212292614486e+03 -3.697176488775555754e+02 -1.745485963541318597e+01
-1.175840071955628218e+03 -3.708119707302713550e+02 -1.769755918213104451e+01
-1.184475160602613869e+03 -3.724176876320892120e+02 -1.743398736935202464e+01
-1.188257298205955067e+03 -3.742826947049862838e+02 -1.734905729327647350e+01
-1.174748312216186378e+03 -3.738426711913508598e+02 -1.734243748464072610e+01
-1.171268727322186123e+03 -3.710856680956628679e+02 -1.731425995685589214e+01
-1.182024373443701961e+03 -3.700885797657134617e+02 -1.698891406495459933e+01
-1.181069119327526096e+03 -3.684882820097769809e+02 -1.717166649185847405e+01
-1.176385113355758676e+03 -3.706771587472217107e+02 -1.685721423755677506e+01
-1.181964653284962196e+03 -3.699389372641102227e+02 -1.645867801482293658e+01
-1.160569120030408158e+03 -3.681859335745178896e+02 -1.581219258062230892e+01
-1.170615530528968065e+03 -3.674618374879125895e+02 -1.561931588933774151e+01
-1.157895883369869807e+03 -3.673741571797985443e+02 -1.585537902722845160e+01
-1.156920444061291619e+03 -3.707862934736809848e+02 -1.580226582112914002e+01
-1.169079892815059566e+03 -3.684086197213619016e+02 -1.602064176107165849e+01
-1.164326703488257408e+03 -3.695794744133535232e+02 -1.594257635854472710e+01
-1.166667703053204150e+03 -3.716587024037786477e+02 -1.633935753558475312e+01
-1.161226254737329555e+03 -3.709640208301771622e+02 -1.639488559394260392e+01
-1.133796496158826585e+03 -3.738224036634367167e+02 -1.657597175175769166e+01
-1.136493781830919488e+03 -3.688667278745019757e+02 -1.700037015515812300e+01
-1.132641931955113023e+03 -3.695228337187475631e+02 -1.649795816432529705e+01
-1.128911797473670958e+03 -3.708771294619170931e+02 -1.721647856324116788e+01
-1.119318334715695983e+03 -3.682549071373413199e+02 -1.726238531250001529e+01
-1.135709722402946227e+03 -3.684348845558179164e+02 -1.735656782248602781e+01
-1.130103771992755810e+03 -3.688685069586121017e+02 -1.702458623504384150e+01
-1.150759922121587124e+03 -3.666450472441483726e+02 -1.666105484929502722e+01
-1.155813112373048625e+03 -3.661835891943090928e+02 -1.666871786929439736e+01
-1.140480999477313617e+03 -3.682558362430467014e+02 -1.603710022008178271e+01
-1.137131823663404703e+03 -3.706585415870277984e+02 -1.576064277668456270e+01
-1.133474461676740930e+03 -3.756847324460143227e+02 -1.526833447944940758e+01
-1.122738031758246507e+03 -3.730203211029597128e+02 -1.551963881423480984e+01
-1.131578164237480905e+03 -3.731786408041200502e+02 -1.542018140433867757e+01
-1.126100374221833135e+03 -3.684145252016110135e+02 -1.540847005041385387e+01
-1.130381969685590775e+03 -3.682683961431819171e+02 -1.512763970605746522e+01
-1.139829487841321452e+03 -3.650923357170764803e+02 -1.526806954663408078e+01
-1.147658815413661387e+03 -3.655134112356337255e+02 -1.532965478322310560e+01
-1.144755075589228682e+03 -3.689593808909302766e+02 -1.566582520605930995e+01
-1.142324809901150957e+03 -3.674842706372309635e+02 -1.589022060201921249e+01
-1.153675859381818100e+03 -3.685950351398043949e+02 -1.588671219358448639e+01
-1.154510892040758335e+03 -3.653401538837350699e+02 -1.655153270138953303e+01
-1.170079586813360720e+03 -3.681344212358472987e+02 -1.634145588592718923e+01
-1.161642379874247581e+03 -3.713814218606117947e+02 -1.646336370758106682e+01
-1.193976241155542766e+03 -3.687227996610113792e+02 -1.593203985106418941e+01
-1.183718155527661565e+03 -3.676463099313392604e+02 -1.597381492511576084e+01
-1.198919982384499917e+03 -3.678118006867119902e+02 -1.741854746233681794e+01
-1.186296434024338851e+03 -3.671083097932665851e+02 -1.655412657900384943e+01
-1.179960081430351465e+03 -3.694748024924099354e+02 -1.652275130972623174e+01
-1.179474647061418636e+03 -3.702188839606272950e+02 -1.641436582420843138e+01
-1.165406839463684264e+03 -3.685699770109779365e+02 -1.657519025322315542e+01
-1.196077313334714290e+03 -3.724384933525570318e+02 -1.669534937848916911e+01
-1.187645418225487447e+03 -3.721184744366831296e+02 -1.659240791305455787e+01
-1.184207215540062180e+03 -3.696469349683203518e+02 -1.636823557072443691e+01
-1.173462909804940864e+03 -3.703034047705307330e+02 -1.608659979261213380e+01
-1.180374316880171818e+03 -3.779842741514049180e+02 -1.603381493474472563e+01
-1.196220642038349979e+03 -3.799638353893241174e+02 -1.574695971894436752e+01
-1.205454533151917985e+03 -3.807853798239380581e+02 -1.544641937828896516e+01
-1.210468535943162351e+03 -3.764145663148688641e+02 -1.537305163233546068e+01
-1.218869544001411214e+03 -3.747425560688263886e+02 -1.657991806420599801e+01
-1.232067339314929541e+03 -3.726783615340790448e+02 -1.635245883224430941e+01
-1.222083311893049995e+03 -3.717784624519226213e+02 -1.640729801835587409e+01
-1.224799193954321481e+03 -3.765936175493039855e+02 -1.627851771245255463e+01
-1.214240530294061955e+03 -3.743283372373012980e+02 -1.633264767944626783e+01
-1.183668173314083788e+03 -3.778271862313548581e+02 -1.652418278937420837e+01
-1.191281941984502737e+03 -3.780285950573168066e+02 -1.614951180559219779e+01
-1.194770118116510048e+03 -3.783570726266375459e+02 -1.604361714944636219e+01
-1.208124496732906891e+03 -3.762788792847327954e+02 -1.571744029618429295e+01
-1.208287550117230467e+03 -3.729681487285851063e+02 -1.659069910508162593e+01
-1.192027543508297867e+03 -3.711743424222106569e+02 -1.679140478226688060e+01
-1.193114081455904397e+03 -3.700465379235473620e+02 -1.578862838165127869e+01
-1.181625709351019850e+03 -3.683456703204598170e+02 -1.596709733348598093e+01
-1.177287845940700436e+03 -3.685455205849320919e+02 -1.553939885954338251e+01
-1.184658204661840273e+03 -3.681437511161118437e+02 -1.584537873307596101e+01
-1.208875285036541072e+03 -3.723424406363194521e+02 -1.564150761653948507e+01
-1.200355093560936893e+03 -3.730767785343634841e+02 -1.566258242098800224e+01
-1.196611928000129637e+03 -3.711428553798261873e+02 -1.650079241894783877e+01
-1.193923143869355499e+03 -3.701096984655682718e+02 -1.625372319909541829e+01
-1.187435838781301300e+03 -3.707790927700023644e+02 -1.629234323730290157e+01
