word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
8.671838336674692727e+00 6.941920777968499934e+00 6.830516052804731508e+00 8.851644186346618426e+00 5.637330662701330652e+00 5.794693617667828534e+00
7.819880104682738420e+00 7.437332647317347778e+00 9.436903448613772838e+00 9.425622051682264413e+00 4.468971269185450623e+00 8.780185706059807416e+00
7.085077617076090739e+00 7.522736597916845014e+00 8.672028816606076163e+00 9.599210780747840843e+00 5.368350433736526206e+00 9.140977497592938761e+00
8.895232597125248830e+00 8.004230585970095291e+00 9.784267145613105399e+00 8.201617480184939524e+00 6.398034035175643730e+00 9.844906568680826808e+00
6.605223439487989623e+00 7.075757886830243315e+00 9.123108821607472052e+00 8.469080976077712819e+00 7.577643986284840594e+00 7.049410747498225938e+00
7.647487063618416236e+00 8.079558683711015377e+00 9.537531763577144162e+00 7.091143704147286897e+00 9.399041309642381492e+00 9.567742721391219618e+00
7.838527519268972732e+00 7.059588819191172426e+00 6.467079608810064606e+00 7.089215169898785973e+00 9.841958809062209212e+00 6.980768357942811697e+00
8.981375352196117490e+00 8.389592779241077380e+00 7.289410667126280607e+00 9.190365236017759898e+00 7.654565598087945233e+00 6.790600606916380677e+00
9.245535475759188770e+00 6.048190548007652545e+00 7.217806522014599935e+00 9.931268740809548135e+00 9.979119126183320532e+00 5.193260981324733017e+00
8.698601657783878949e+00 7.670304858760077060e+00 7.815155437645653791e+00 9.657255981242766296e+00 8.407619893964270119e+00 9.398838314003029382e+00
9.825572416753098892e+00 6.980269618363209361e+00 7.991991465069359535e+00 8.940428471971864965e+00 9.663207734920133518e+00 9.192334838492875804e+00
7.270762622092287408e+00 9.843292358441583900e+00 9.927365021876926932e+00 9.987705041472898060e+00 7.715248203491909429e+00 7.932452782665361468e+00
6.303676422009800717e+00 7.512844897982290604e+00 6.640854251968580257e+00 9.983559968452432543e+00 6.887513874092503485e+00 6.151032893104940058e+00
7.822624327206389339e+00 5.240825566616036824e+00 8.845322452359859255e+00 9.528251610353825285e+00 8.108211212094518672e+00 9.761158696932977108e+00
9.136748918606171443e+00 9.823297704604391001e+00 6.603236943956616756e+00 8.706356842459914702e+00 9.227016135346545411e+00 8.174563556126511088e+00
9.226671409547156699e+00 6.457243924263512014e+00 6.719767391632893272e+00 8.568483706300966674e+00 9.890866534766360019e+00 9.270291878533081231e+00
8.880444922614792347e+00 9.417483711656915446e+00 9.696766529663012335e+00 8.992433947994982191e+00 7.856139675840937642e+00 8.098560849874948175e+00
9.705430896456418211e+00 9.953769135778689048e+00 9.934225874028609127e+00 9.427551306807403719e+00 8.040279691967427311e+00 9.726612011763949184e+00
9.479888750727475610e+00 7.825426401677682442e+00 6.400235981975913369e+00 8.586891354238584739e+00 7.782755632946066982e+00 7.975258131799569661e+00
8.159348023933995719e+00 7.563256169272758456e+00 6.758578424701754628e+00 7.989984683774928875e+00 7.468230659128626492e+00 4.914558944659665585e+00
7.019088503428975834e+00 7.097517784935818419e+00 8.473843339899836735e+00 8.582315788496581277e+00 9.635799958660001607e+00 5.132211724310705492e+00
8.491681481945603238e+00 7.362807338603349905e+00 7.032335354819193363e+00 9.106997599955111156e+00 8.998846382445352177e+00 8.926244922521894054e+00
4.686250140273814146e+00 5.459719525741000723e+00 7.998564675199756557e+00 7.517484596167538058e+00 6.939380343190481248e+00 6.942757073270063195e+00
5.440867990012322686e+00 6.655664071496821599e+00 8.722859535804129649e+00 9.999597643688611370e+00 9.208285516887782407e+00 8.905878805966420231e+00
7.832507471364770879e+00 4.973942025676116430e+00 5.308791750383949903e+00 9.574640106455326816e+00 9.344426353199065005e+00 9.924817319184015219e+00
9.425713694423354383e+00 7.294882130227168915e+00 7.453395784999396589e+00 9.372730305854782173e+00 7.097308612846001452e+00 7.617876504670191729e+00
8.484061459418672513e+00 9.155619628629120044e+00 9.180052758963139325e+00 9.637587644239276941e+00 9.752245859943348805e+00 9.043510621754776935e+00
8.467418087025166074e+00 7.406721423138459492e+00 7.860398995779948272e+00 8.316866184181193944e+00 8.201349557845539096e+00 8.913557306563873794e+00
7.920635255104436112e+00 9.491763503372084188e+00 9.234705790704895279e+00 9.536323328958431489e+00 7.185542521798197413e+00 9.884710931065079365e+00
5.863097600920402108e+00 8.142617832699039937e+00 6.082193345535969797e+00 9.297597016713009310e+00 8.273369421579738869e+00 9.795363738110541618e+00
5.952992873815993846e+00 6.919864840879558443e+00 5.987355121623240350e+00 9.325917917514040312e+00 8.961354282423483752e+00 7.528377117659431406e+00
8.813050060102352035e+00 6.850731650104642689e+00 5.690626175434346123e+00 9.929387212489420023e+00 9.461982249604494299e+00 7.225410300297332000e+00
8.534351018913579168e+00 6.818015035492043907e+00 7.694456050417130655e+00 9.575406910176727848e+00 8.437555835096780754e+00 6.258134067556911262e+00
9.065275385955297693e+00 9.956092229153494344e+00 7.265068525129579236e+00 9.653245184400599754e+00 9.848746774610271260e+00 5.982296578592389835e+00
9.426968578442268765e+00 8.561344115028042268e+00 8.881081084072039999e+00 6.920134592973861132e+00 9.790748011527433903e+00 8.676922575662739945e+00
7.640933409596755155e+00 8.122298130251902393e+00 7.066437675471397561e+00 8.759329964595162110e+00 9.675156282993764734e+00 8.323262785341920988e+00
6.849895418686796411e+00 8.226638864641062199e+00 8.689168157473599052e+00 7.278523022357687111e+00 8.574838104892290147e+00 5.917970280343701539e+00
7.779763990390646811e+00 6.036576273044863328e+00 7.091348876292603798e+00 8.960572794914689609e+00 8.268744671838788918e+00 5.794199097398272436e+00
9.101899953058692816e+00 9.984215799774478484e+00 8.679818686676332717e+00 7.256968012342561281e+00 7.373280201280427271e+00 8.110665174383928644e+00
5.906345917524198796e+00 8.451077454835333569e+00 9.865611357838753648e+00 7.496603909049360581e+00 9.577182065467585659e+00 9.307790441790135816e+00
5.330499926724074911e+00 9.375641550975498006e+00 8.048813836965335256e+00 8.612553472538010624e+00 6.739753872172861371e+00 9.481721746267332662e+00
7.823462589239631448e+00 9.907277535691131121e+00 6.671298528837886543e+00 9.511314458081935541e+00 8.942670262647665069e+00 7.740286333352740300e+00
6.835929560652951764e+00 9.457489357797900453e+00 4.479570576372318591e+00 7.075523451540411735e+00 8.612950162838702184e+00 8.782558260236788428e+00
6.325965492635185150e+00 6.289375906927670457e+00 8.977897151951495402e+00 8.896469554204040620e+00 8.793044757784995724e+00 4.746659034644144626e+00
7.205966321433142419e+00 8.242727784141923308e+00 9.184682332587222220e+00 6.880744592712198404e+00 9.269741855101415240e+00 9.837183551356039501e+00
5.390642833906568399e+00 5.949706498109760489e+00 7.437128278739325360e+00 7.017753283882768756e+00 8.143277134311043497e+00 9.442490078626295968e+00
5.053019739887071538e+00 9.140632993823240682e+00 6.098267654969586005e+00 6.348824398643271749e+00 5.939849554109728480e+00 9.152984006876010881e+00
