log.prior	log.likelihood	log.likelihood.test.set
-1.841642151334769551e+03 -1.164841392833465534e+03 -1.175972067640059890e+02
-1.836291522518967668e+03 -1.160838411146518411e+03 -1.181758491663574944e+02
-1.829062743786260626e+03 -1.163392515774202366e+03 -1.157586265391983318e+02
-1.842402637562397786e+03 -1.163679024783605200e+03 -1.156324113734348202e+02
-1.864808713856879422e+03 -1.166546176089531627e+03 -1.143673018251728024e+02
-1.843983819790145844e+03 -1.170990864747441719e+03 -1.142855249495348744e+02
-1.853054237181443114e+03 -1.165518367837945789e+03 -1.159486187612010042e+02
-1.843829284087761835e+03 -1.168451733866857921e+03 -1.157711095017485547e+02
-1.830929379496740466e+03 -1.170038791534559095e+03 -1.153678257213117888e+02
-1.843792662649385647e+03 -1.175664511808559155e+03 -1.142518922778517947e+02
-1.884464991290393755e+03 -1.176395239769572299e+03 -1.142953789689131270e+02
-1.856910204559680096e+03 -1.179509253424402459e+03 -1.140635824894434336e+02
-1.838044888843437775e+03 -1.177312413069820650e+03 -1.142202632797007311e+02
-1.861415709937041129e+03 -1.177354624785680016e+03 -1.135757692944345649e+02
-1.851860543119863678e+03 -1.175066728570876876e+03 -1.151522912391318130e+02
-1.859296347060709195e+03 -1.173620189392661359e+03 -1.161611886954824229e+02
-1.843579669052007830e+03 -1.168902344362166559e+03 -1.172083147542076915e+02
-1.879965595493352339e+03 -1.173040543424366433e+03 -1.173550966207939155e+02
-1.845588567930360341e+03 -1.162629067778249919e+03 -1.155566263397917623e+02
-1.829396387009497175e+03 -1.164723532391497656e+03 -1.167298338621795324e+02
-1.835275759691957546e+03 -1.161348122380750283e+03 -1.162070154287808919e+02
-1.841714207789721740e+03 -1.166392135839756975e+03 -1.156830294835984603e+02
-1.836498112158298682e+03 -1.165801166110283702e+03 -1.160065378974588270e+02
-1.826355443286209947e+03 -1.162319472542866151e+03 -1.162984051484003771e+02
-1.845530994681438415e+03 -1.160348595523749736e+03 -1.151389892539420146e+02
-1.859382533735591096e+03 -1.160811554265734230e+03 -1.163147642636308774e+02
-1.867273379850750189e+03 -1.160819542498623605e+03 -1.163885442998772817e+02
-1.893449324642885358e+03 -1.164365140936962007e+03 -1.159771463739592150e+02
-1.912698479849237629e+03 -1.162915526814687610e+03 -1.159965182701910464e+02
-1.926234199537361746e+03 -1.164748179661407448e+03 -1.159595733875861185e+02
-1.901713922285382523e+03 -1.163851833304036745e+03 -1.154071638239978768e+02
-1.892079086937376360e+03 -1.161646672448003301e+03 -1.161892914144917768e+02
-1.901749462599627350e+03 -1.160659867162659111e+03 -1.164895994092682940e+02
-1.901235104839625137e+03 -1.161804833556164112e+03 -1.160368306358723771e+02
-1.907520813621971911e+03 -1.166971190197258238e+03 -1.147262845335468171e+02
-1.890424422002821757e+03 -1.163961525876937230e+03 -1.152970016130970237e+02
-1.891038351824413667e+03 -1.163376744634510715e+03 -1.161344339816752438e+02
-1.888255780523432577e+03 -1.165916248323644368e+03 -1.153232468276851534e+02
-1.899925843937704030e+03 -1.168988903605434189e+03 -1.147078960962243173e+02
-1.891795510369248177e+03 -1.164896381976208886e+03 -1.145628564769085642e+02
-1.894934664982386494e+03 -1.169269831060302067e+03 -1.140806918680381159e+02
-1.907392560965571192e+03 -1.166737230249060985e+03 -1.154801582227394476e+02
-1.894880626059357155e+03 -1.162040257386531266e+03 -1.154720542490233868e+02
-1.906288209156399716e+03 -1.159180682505303139e+03 -1.152871800241289861e+02
-1.914972808652348476e+03 -1.157898515027035728e+03 -1.137988120297774799e+02
-1.895903625082481540e+03 -1.159651167844579732e+03 -1.139740625589861338e+02
-1.888707395709724551e+03 -1.158864896035256152e+03 -1.134597669338435821e+02
-1.906457983177221422e+03 -1.156673803930955273e+03 -1.136016169269019258e+02
-1.932221708409498433e+03 -1.152297952769298035e+03 -1.135900873800709689e+02
-1.940364208925906269e+03 -1.148576472237036569e+03 -1.141355478614858612e+02
-1.919378218649835617e+03 -1.149625485681372311e+03 -1.155054001534447821e+02
-1.907656239108102000e+03 -1.150275889019812894e+03 -1.153870645506807193e+02
-1.910853673370919751e+03 -1.150752596518580503e+03 -1.163533560292424056e+02
-1.921850161474693550e+03 -1.148600950115926025e+03 -1.166002985465100892e+02
-1.933050650554240747e+03 -1.149039158508495575e+03 -1.162840754737862028e+02
-1.940640440151260918e+03 -1.149452963862940578e+03 -1.168558705005878551e+02
