time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
8.819294224263359183e+01 1.070266924989809070e+02 8.998210147604808640e+01 8.920240624730143963e+01 1.023149707351852271e+02 9.548304492497889839e+01 1.164261503757489322e+02 1.007329750170238327e+02 1.025394281189813483e+02 9.595811059303727575e+01
1.079660257061034656e+02 1.088648136890719229e+02 9.439713047583225602e+01 8.835000125684979366e+01 9.741816553221559616e+01 8.574355873909905768e+01 1.000611346396663350e+02 1.099297082512585035e+02 1.080470443404627474e+02 9.147516161626003850e+01
1.040042860117367951e+02 9.904359668053422183e+01 9.985529723219724474e+01 9.391801747715965121e+01 1.010235686634991339e+02 1.166447130550051270e+02 8.727286324226705005e+01 1.165286607645003158e+02 9.364533278054308596e+01 9.632702662012967210e+01
1.041520882479559020e+02 9.738821266876834670e+01 1.046319007949970370e+02 9.232046773698897368e+01 1.024510308504656280e+02 1.061497699569075337e+02 1.221030080545999397e+02 1.064949872676798748e+02 9.296616044451987193e+01 9.943537609287578505e+01
1.034650633699794184e+02 9.251088685461675709e+01 9.924286305092093130e+01 9.954673039911952515e+01 1.052213622970418214e+02 9.121513436055633406e+01 1.158913482818360592e+02 9.165380945518559486e+01 9.433235903197146399e+01 9.349237063776467949e+01
9.908556828215233736e+01 1.094285819967029028e+02 1.006325247869310147e+02 1.080856933030704852e+02 1.023738610123772759e+02 8.857227002079760325e+01 1.100320368218894771e+02 8.540323306143609727e+01 9.056757531470215383e+01 9.781434636910333325e+01
1.002260813149337935e+02 1.103358931397946918e+02 1.114652056981637713e+02 9.646063852831480290e+01 9.750494768164524828e+01 1.054175416579150522e+02 1.050471568012415986e+02 1.157343714031427737e+02 7.905128238301864485e+01 8.573447292781605711e+01
9.776402555286142615e+01 9.069388945791351375e+01 1.108529230104695387e+02 9.615771150827563929e+01 9.491856443020493828e+01 1.103370813838772762e+02 8.107975722617769065e+01 9.039754495849118143e+01 1.074083895782904108e+02 9.157656390021654147e+01
1.108845791261567797e+02 1.054249936247561124e+02 8.661920882896257012e+01 1.273178107323846007e+02 1.000938853853341186e+02 9.361359388331327125e+01 8.004040656930158093e+01 8.968463311256698489e+01 9.983409856345095079e+01 1.034170863393980113e+02
1.101025919278551157e+02 9.384477707763959131e+01 9.752041342996869844e+01 9.982004482599724327e+01 9.640770916816575209e+01 9.129404804163526421e+01 1.116750762401693606e+02 1.080615170710839834e+02 9.183223991422174493e+01 9.934509334062934727e+01
9.098137865622115328e+01 1.061211381249260626e+02 9.384085476758909294e+01 1.014922579149261281e+02 1.029703501462024633e+02 9.307281036416983966e+01 1.120159829415023722e+02 9.966430658300166101e+01 1.011857385112936640e+02 1.114873653522838879e+02
1.032409767915348908e+02 9.954885417811544812e+01 8.678772295976945372e+01 1.128575805428050671e+02 1.046585284778076925e+02 9.285485122710392147e+01 1.114018852017711225e+02 8.816749287794277734e+01 1.027304475049181463e+02 1.141969243683260800e+02
1.096793805732350080e+02 8.785021106544046177e+01 9.585192972477608464e+01 1.009957959687813798e+02 9.545892278523717778e+01 1.116710781752422008e+02 9.783163803986835205e+01 9.287178308714490527e+01 9.728035800244622067e+01 1.114962780483742364e+02
9.402707221901630419e+01 8.934455641842639295e+01 9.233652381599183911e+01 9.186949752119843993e+01 1.067539579625567114e+02 1.110179515048713768e+02 9.846903939417842366e+01 1.282512113614569387e+02 1.004077549778404830e+02 1.095974741108379646e+02
8.736249708802721159e+01 9.692051493591401368e+01 9.419812968253931729e+01 1.096284835557715382e+02 1.186986194911115291e+02 1.042984623383962486e+02 1.109808416368320962e+02 1.190832902708383898e+02 9.755190041454071093e+01 9.860986830376175760e+01
1.081949926738178789e+02 1.129482213299216227e+02 1.107640495706565815e+02 1.079517513352752189e+02 8.531321028539463214e+01 9.359819471604576790e+01 9.924043697590610691e+01 9.837755087864186976e+01 7.995123435753258434e+01 9.643107317405765855e+01
1.057191281251299841e+02 1.188485747859346020e+02 1.144781736867135180e+02 1.135179163365610862e+02 9.086005368906637614e+01 1.050805826850012750e+02 1.062499035362735071e+02 8.794766432789579369e+01 9.545229648532991007e+01 9.517914789102498219e+01
1.040758461062707738e+02 1.034638029178939149e+02 1.186021975758880416e+02 1.045938379454292573e+02 1.263556057769146150e+02 1.016431230438111299e+02 9.790496602314887298e+01 9.237852233682215797e+01 8.918010938839591972e+01 1.147094324818225175e+02
7.998309771470431428e+01 1.017007715363184843e+02 1.290607177563763912e+02 9.706222731428577788e+01 1.196896951030485212e+02 1.005759141844317952e+02 1.129049794267762366e+02 1.036757631795547070e+02 1.106633247157099902e+02 1.035200248026501129e+02
9.631558751299658638e+01 1.099771352782342007e+02 1.108963465668630306e+02 9.825877210265986150e+01 1.100681895803289478e+02 1.030948757451315316e+02 1.178927231745178545e+02 1.046638977084215441e+02 9.720062048403168831e+01 1.027546757709465055e+02
9.084942368686193959e+01 1.043480043809600488e+02 1.176480353277629689e+02 9.565834837344812058e+01 1.201925876527304240e+02 9.854695821186452065e+01 1.179570009162477788e+02 1.031723693553761620e+02 1.186031573873010529e+02 9.937407161943221467e+01
